SITE_ID,SECMEAN,COLOR,CHLA,COND,DOC,NTL,PTL,LON_DD,LAT_DD,COM_ID,ELEV_PT,DEPTHMAX,AREA_HA,survey
NLA06608-0001,6.4,6,0.24,96,0.63,151,6,-114.0218399,48.97902855,9301511,1605.73,8.3,66.2930555,2007
NLA06608-0002,0.5,60,12.36,44,13.855,582,29,-79.98379054,33.03606404,9642039,4.9,2.3,14.43799807,2007
NLA06608-0002,0.5,60,12.36,44,13.855,582,29,-79.98379054,33.03606404,9642039,4.9,2.3,14.43799807,2007
NLA06608-0003,0.6,15,14.91,1104.5,5.935,790.5,46.5,-97.85986605,28.04774206,3169452,17.6,2.5,5.701736559,2007
NLA06608-0003,0.6,15,14.91,1104.5,5.935,790.5,46.5,-97.85986605,28.04774206,3169452,17.6,2.5,5.701736559,2007
NLA06608-0004,1.4,10,9.66,315,7.93,470,32,-108.4045832,37.41662013,3262179,2213,6.3,65.38630923,2007
NLA06608-0004,1.4,10,9.66,315,7.93,470,32,-108.4045832,37.41662013,3262179,2213,6.3,65.38630923,2007
NLA06608-0005,NA,0,0.805,54,1.42,76.5,3.5,-114.8403862,43.92920926,23491387,2138,6.9,19.48761255,2007
NLA06608-0005,NA,0,0.805,54,1.42,76.5,3.5,-114.8403862,43.92920926,23491387,2138,6.9,19.48761255,2007
NLA06608-0006,3.655,11,3.65,76,3.055,203.5,5.5,-73.1465177,41.68314624,7711476,198.75,25.3,56.19974819,2007
NLA06608-0006,3.655,11,3.65,76,3.055,203.5,5.5,-73.1465177,41.68314624,7711476,198.75,25.3,56.19974819,2007
NLA06608-0007,3.25,11,3.26,26.5,6.6,508,7.5,-92.04001797,45.58064546,13080617,390.86,19.2,25.4747633,2007
NLA06608-0007,3.25,11,3.26,26.5,6.6,508,7.5,-92.04001797,45.58064546,13080617,390.86,19.2,25.4747633,2007
NLA06608-0008,0.6,10,89.22,218,7.365,1163,72.5,-93.59040488,41.29211104,22250049,261.56,5.5,48.7370362,2007
NLA06608-0008,0.6,10,89.22,218,7.365,1163,72.5,-93.59040488,41.29211104,22250049,261.56,5.5,48.7370362,2007
NLA06608-0010,3.54,4,3.855,649.5,4.745,479,10,-83.50588771,42.61823014,13173017,284.65,11.8,30.03733238,2007
NLA06608-0010,3.54,4,3.855,649.5,4.745,479,10,-83.50588771,42.61823014,13173017,284.65,11.8,30.03733238,2007
NLA06608-0012,0.29,31.5,13.09,225,7.075,1039,150.5,-96.87178731,35.99078823,534289,255.6,3.5,177.6575126,2007
NLA06608-0012,0.29,31.5,13.09,225,7.075,1039,150.5,-96.87178731,35.99078823,534289,255.6,3.5,177.6575126,2007
NLA06608-0013,0.85,19,12.415,48.5,4.6,324,24,-74.56255123,39.97428032,4489294,15.44,2.3,37.14025576,2007
NLA06608-0013,0.85,19,12.415,48.5,4.6,324,24,-74.56255123,39.97428032,4489294,15.44,2.3,37.14025576,2007
NLA06608-0014,0.74,24,14.635,8673.5,41.075,4301.5,175,-100.5756807,47.83492738,14174711,498.4,1.7,12.80952857,2007
NLA06608-0014,0.74,24,14.635,8673.5,41.075,4301.5,175,-100.5756807,47.83492738,14174711,498.4,1.7,12.80952857,2007
NLA06608-0015,0.375,5,16.825,725,3.86,446.5,103.5,-107.2747938,33.0071076,3219231,1275.36,7,173.9929805,2007
NLA06608-0015,0.375,5,16.825,725,3.86,446.5,103.5,-107.2747938,33.0071076,3219231,1275.36,7,173.9929805,2007
NLA06608-0016,0.52,5,14.82,1075.5,4.59,597,22.5,-100.7797567,41.03025217,17432752,916,6.8,641.0233086,2007
NLA06608-0016,0.52,5,14.82,1075.5,4.59,597,22.5,-100.7797567,41.03025217,17432752,916,6.8,641.0233086,2007
NLA06608-0019,0.45,45,24.145,3638.5,47.795,6812.5,1088.5,-99.51185877,46.36688788,14665971,600.25,1.2,103.3135279,2007
NLA06608-0019,0.45,45,24.145,3638.5,47.795,6812.5,1088.5,-99.51185877,46.36688788,14665971,600.25,1.2,103.3135279,2007
NLA06608-0020,0.88,11,16.635,216.5,4.87,535.5,25,-87.81380832,39.40817838,10284202,184.92,14.9,296.2001459,2007
